Portfolio_Manager_ID,Name,Construction_Status,Gross_Floor_Area
5984875,The College of New Jersey,Existing,2830421
6151483,Ely Allen Brewster House,Existing,54144
6151485,Armstrong Hall,Existing,71647
6151490,Art & IMM,Existing,70580
6151492,ASB,Existing,32339
6151495,Biology Building,Existing,77893
6151517,Bliss Hall,Existing,35915
6151522,Brower Student Center,Existing,106430
6151525,School of Business,Existing,46000
6151527,Centennial Hall,Existing,49944
6153497,Cromwell Hall,Existing,85847
6153499,Decker Hall,Existing,103816
6153500,Education Building,Existing,79885
6153504,Eickhoff Hall,Existing,147100
6153507,Forcina Hall,Existing,77380
6153508,Green Hall,Existing,71808
6153510,Hausdoerffer Hall,Existing,70000
6153512,Kendall Hall,Existing,83000
6153513,Maintenance Building,Existing,21049
6153515,Music Building,Existing,50200
6153516,New Residence Hall,Existing,57875
6153518,Norsworthy Hall,Existing,43200
6153520,Packer Hall,Existing,124577
6153521,Phelps Hall,Existing,70000
6153524,Athletic Recreation Center,Existing,53861
6153527,Roscoe L West 68 Building,Existing,59140
6153528,Science Complex,Existing,123068
6153529,Social Science Building,Existing,74000
6153535,Spiritual Center,Existing,4450
6153537,R. Barbara Gitenstein Library,Existing,153515
6153559,Travers Wolfe Hall,Existing,280494
6153562,Townhouse West/East,Existing,133749
6153563,Power House/Cogen,Existing,15720
6153565,Trenton Hall,Existing,33097
6153566,Townhouse South,Existing,65000
6609978,Bliss Annex,Existing,20667
6609987,Roscoe L West 34 Building,Existing,39416
6610009,Lions Stadium Concession,Existing,2050
6610010,Lions Stadium Restrooms,Existing,1510
6610012,Lions Stadium Pressbox,Existing,2548
6610015,Trenton Info Booth,Existing,56
6610017,Soccer Bathrooms,Existing,912
6610018,Soccer Pressbox,Existing,484
6610019,Softball Concession,Existing,321
6610020,Softball Pressbox,Existing,725
6610023,STEM Building/Forum,Existing,106380
6610024,Chemistry Addition,Existing,29681
6611048,Green Lane Storage Facility,Existing,3996
