Portfolio Manager Meter ID,Meter Type,Units
31548254,Electric - Grid,kWh (thousand Watt-hours)
49324439,Electric - Grid,kWh (thousand Watt-hours)
49327760,Electric - Grid,kWh (thousand Watt-hours)
49324969,Electric - Grid,kWh (thousand Watt-hours)
49325200,Electric - Grid,kWh (thousand Watt-hours)
97503345,Electric - Grid,kWh (thousand Watt-hours)
31548250,Natural Gas,therms
31548249,Natural Gas,therms
31548251,Natural Gas,therms
49324175,Natural Gas,therms
49324216,Natural Gas,therms
49324348,Natural Gas,therms
49324390,Natural Gas,therms
81413017,Natural Gas,therms
49324753,Natural Gas,therms
49325021,Natural Gas,therms
49325117,Natural Gas,therms
49325377,Natural Gas,therms
49440466,Natural Gas,ccf (hundred cubic feet)
49450360,Natural Gas,ccf (hundred cubic feet)
49327857,Natural Gas,therms
31548252,Natural Gas,therms
92050612,Other:,kBtu (thousand Btu)
49326153,Fuel Oil,Gallons (US)
49324572,Electric Grid,kWh (thousand Watt-hours)
