,Property Name,Portfolio Manager ID,Construction Status,Gross Floor Area
0,The College of New Jersey,5984875,Existing,2830421
1,Ely Allen Brewster House,6151483,Existing,54144
2,Armstrong Hall,6151485,Existing,71647
3,Art & IMM,6151490,Existing,70580
4,ASB,6151492,Existing,32339
5,Biology Building,6151495,Existing,77893
6,Bliss Hall,6151517,Existing,35915
7,Brower Student Center,6151522,Existing,106430
8,School of Business,6151525,Existing,46000
9,Centennial Hall,6151527,Existing,49944
10,Cromwell Hall,6153497,Existing,85847
11,Decker Hall,6153499,Existing,103816
12,Education Building,6153500,Existing,79885
13,Eickhoff Hall,6153504,Existing,147100
14,Forcina Hall,6153507,Existing,77380
15,Green Hall,6153508,Existing,71808
16,Hausdoerffer Hall,6153510,Existing,70000
17,Kendall Hall,6153512,Existing,83000
18,Maintenance Building,6153513,Existing,21049
19,Music Building,6153515,Existing,50200
20,New Residence Hall,6153516,Existing,57875
21,Norsworthy Hall,6153518,Existing,43200
22,Packer Hall,6153520,Existing,124577
23,Phelps Hall,6153521,Existing,70000
24,Athletic Recreation Center,6153524,Existing,53861
25,Roscoe L West 68 Building,6153527,Existing,59140
26,Science Complex,6153528,Existing,123068
27,Social Science Building,6153529,Existing,74000
28,Spiritual Center,6153535,Existing,4450
29,R. Barbara Gitenstein Library,6153537,Existing,153515
30,Travers Wolfe Hall,6153559,Existing,280494
31,Townhouse West/East (Cluster #1),6153562,Existing,133749
32,Power House/Cogen,6153563,Existing,15720
33,Trenton Hall,6153565,Existing,33097
34,Townhouse South (Cluster #2),6153566,Existing,65000
35,Bliss Annex,6609978,Existing,20667
36,Roscoe L West 34 Building,6609987,Existing,39416
37,Lions Stadium Concession,6610009,Existing,2050
38,Lions Stadium Restrooms,6610010,Existing,1510
39,Lions Stadium Pressbox,6610012,Existing,2548
40,Trenton Info Booth,6610015,Existing,56
41,Soccer Bathrooms,6610017,Existing,912
42,Soccer Pressbox,6610018,Existing,484
43,Softball Concession,6610019,Existing,321
44,Softball Pressbox,6610020,Existing,725
45,STEM Building/Forum,6610023,Existing,106380
46,Chemistry Addition,6610024,Existing,29681
47,Green Lane Storage Facility,6611048,Existing,3996
