Property_Name,Property_Type
The College of New Jersey,College/University
Ely Allen Brewster House,Residence Hall/Dormitory
Armstrong Hall,College/University
Art & IMM,College/University
ASB,College/University
Biology Building,College/University
Bliss Hall,College/University
Brower Student Center,College/University
School of Business,College/University
Centennial Hall,Residence Hall/Dormitory
Cromwell Hall,Residence Hall/Dormitory
Decker Hall,Residence Hall/Dormitory
Education Building,College/University
Eickhoff Hall,College/University
Forcina Hall,College/University
Green Hall,College/University
Hausdoerffer Hall,Residence Hall/Dormitory
Kendall Hall,College/University
Maintenance Building,College/University
Music Building,College/University
New Residence Hall,Residence Hall/Dormitory
Norsworthy Hall,Residence Hall/Dormitory
Packer Hall,College/University
Phelps Hall,Residence Hall/Dormitory
Athletic Recreation Center,College/University
Roscoe L West 68 Building,College/University
Science Complex,College/University
Social Science Building,College/University
Spiritual Center,Worship Facility
R. Barbara Gitenstein Library,College/University
Travers Wolfe Hall,Residence Hall/Dormitory
Townhouse West/East,Residence Hall/Dormitory
Power House/Cogen,College/University
Trenton Hall,College/University
Townhouse South,Residence Hall/Dormitory
Bliss Annex,College/University
Roscoe L West 34 Building,College/University
Lions Stadium Concession,College/University
Lions Stadium Restrooms,College/University
Lions Stadium Pressbox,College/University
Trenton Info Booth,College/University
Soccer Bathrooms,College/University
Soccer Pressbox,College/University
Softball Concession,College/University
Softball Pressbox,College/University
STEM Building/Forum,College/University
Chemistry Addition,College/University
Green Lane Storage Facility,College/University
